AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
CT2314-2,Slow Seller,Active,CT2314 COFFEE TABLE (2) STOOLS,WHITE COLOR,* BOX 2 OF 2 *,0,,129,1,128,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT2315,Slow Seller,Active,CT2315 COFFEE TABLE W/ 2 STOOLS,HIGH GLOSS GRAY COLOR,TEMPERED GLASS,129,136,,,116,,,,,,,,,,
CT2315-1,Slow Seller,Active,CT2315 COFFEE TABLE TOP GLASS + SHLEVES,GRAY COLOR,* BOX 1 OF 2 *,0,,116,0,116,,,,,,,,,,
CT2315-2,Slow Seller,Active,CT2315 COFFE TABLE (2) STOOLS,GRAY COLOR,* BOX 2 OF 2 *,0,,116,0,116,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT246,Slow Seller,Active,CT246 COFFEE TABLE,BLACK COLOR,TEMPERED GLASS,199,209,,,132,,,,,,,,,,
CT246-1,Slow Seller,Active,CT246 COFFEE TABLE LEGS,BLACK COLOR,* BOX 2 OF 3 *,0,0,138,0,138,,,,,,,,,,
CT246-2,Slow Seller,Active,CT246 COFFEE TABLE 4 STOOLS,BLACK COLOR,* BOX 3 OF 3 *,0,0,138,0,138,,,,,,,,,,
CT246-3,Slow Seller,Active,CT246 COFFEE TABLE GLASS TOP,TEMPERED GLASS,* BOX 1 OF 3 *,0,0,132,0,132,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT260,Slow Seller,Active,CT260 COFFEE TABLE,WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY FINISH,STAINLESS STEEL BASE,199,209,,,4,,,,,,,,,,
CT260-1,Slow Seller,Active,2PC. COFFEE SET (C+E),WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY,STAINLESS STEEL BASE,436,458,,,0,,,,,,,,,,
CT260-1-1,Slow Seller,Active,3PC. COFFEE SET (C+2E),WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY,STAINLESS STEEL BASE,606,637,,,0,,,,,,,,,,
CT260-1-1-2,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY,STAINLESS STEEL BASE,918,966,,,0,,,,,,,,,,
CT260-1-2,Slow Seller,Active,3PC. COFFEE SET (C+E+S),WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY,STAINLESS STEEL BASE,748,787,,,0,,,,,,,,,,
CT260-A,Slow Seller,Active,CT260 COFFEE TABLE TOP,WHITE FAUX MARBLE,* BOX 1 OF 3 *,0,,5,0,5,,,,,,,,,,
CT260-B,Slow Seller,Active,CT260 COFFEE TABLE MIDDLE,HIGH GLOSS GRAY FINISH,* BOX 2 OF 3 *,0,,4,0,4,,,,,,,,,,
CT260-C,Slow Seller,Active,CT260 COFFEE TABLE BASE,STAINLESS STEEL,* BOX 3 OF 3 *,0,,5,0,5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT261,Slow Seller,Active,CT261 END TABLE,WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY FINISH,STAINLESS STEEL BASE,129,136,,,0,,,,,,,,,,
