AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B28-EK-FB,Discontinued,Active,B28 EASTERN KING FOOTBOARD & SIDE RAILS,BLACK VELVET,* BOX 2 OF 3 *,0,,2,0,2,,,,,,,,,,
B28-EKCK-HB,Discontinued,Active,B28 EASTERN & CAL. KING HEADBOARD,BLACK VELVET,* BOX 1 OF 3 *,0,,3,0,3,,,,,,,,,,
B28-EKCK-SL,Discontinued,Active,B28 EASTERN & CAL. KING SLATS,* BOX 3 OF 3 *,,0,,3,0,3,,,,,,,,,,
B28-Q-FB,Discontinued,Active,B28 QUEEN FOOTBOARD & SIDE RAILS,BLACK VELVET,* BOX 2 OF 3 *,0,,2,0,2,,,,,,,,,,
B28-Q-HB,Discontinued,Active,B28 QUEEN HEADBOARD,BLACK VELVET,* BOX 1 OF 3 *,0,,2,0,2,,,,,,,,,,
B28-Q-SL,Discontinued,Active,B28 QUEEN SLAT,* BOX 3 OF 3 *,,0,,2,0,2,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B29-CKB,Discontinued,Active,B29 CAL. KING BED,WHITE FAUX LEATHER,* 3 BOXES * ,420,399,,,1,,,,,,,,,,
B29-QB,Discontinued,Active,B29 QUEEN BED,WHITE FAUX LEATHER,* 3 BOXES *,420,399,,,0,,,,,,,,,,
B29-CK-FB,Discontinued,Active,B29 CAL. KING FOOTBOARD & SIDE RAILS,WHITE FAUX LEATHER,* BOX 2 OF 3 *,0,,1,0,1,,,,,,,,,,
B29-EKCK-HB,Discontinued,Active,B29 EASTERN & CAL. KING HEADBOARD,WHITE FAUX LEATHER,* BOX 1 OF 3 *,0,,1,0,1,,,,,,,,,,
B29-EKCK-SL,Discontinued,Active,B29 EASTERN & CAL. KING SLATS,* BOX 3 OF 3 *,,0,,1,0,1,,,,,,,,,,
B29-Q-FB,Discontinued,Active,B29 QUEEN FOOTBOARD & SIDE RAILS,WHITE FAUX LEATHER,* BOX 2 OF 3 *,0,,0,0,0,,,,,,,,,,
B29-Q-HB,Discontinued,Active,B29 QUEEN HEADBOARD,WHITE FAUX LEATHER,* BOX 1 OF 3 *,0,,0,0,0,,,,,,,,,,
B29-Q-SL,Discontinued,Active,B29 QUEEN SLAT,* BOX 3 OF 3 *,,0,,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B47-CKB,Discontinued,Active,B47 CAL. KING BED,NAVY BLUE VELVET,* 4 BOXES *,473,449,,,3,,,,,,,,,,
B47-EKB,Discontinued,Active,B47 EASTERN KING BED,NAVY BLUE VELVET,* 4 BOXES *,473,449,,,0,,,,,,,,,,
B47-QB,Discontinued,Active,B47 QUEEN BED,NAVY BLUE VELVET,* 4 BOXES *,420,399,,,1,,,,,,,,,,
B47-CK-SR,Discontinued,Active,B47 CAL. KING SIDE RAILS,NAVY BLUE VELVET,* BOX 3 OF 4 *,0,,3,0,3,,,,,,,,,,
B47-EK-SR,Discontinued,Active,B47 EASTERN KING BED SIDE RAILS,NAVY BLUE VELVET,* BOX 3 OF 4 *,0,,0,0,0,,,,,,,,,,
B47-EKCK-FB,Discontinued,Active,B47 EASTERN & CAL. KING FOOTBOARD,NAVY BLUE VELVET,* BOX 2 OF 4 *,0,,3,0,3,,,,,,,,,,
B47-EKCK-HB,Discontinued,Active,B47 EASTERN & CAL. KING HEADBOARD,NAVY BLUE VELVET,* BOX 1 OF 4 *,0,,3,0,3,,,,,,,,,,
B47-EKCK-SL,Discontinued,Active,B47 EASTERN 7 CAL. KING SLATS,* BOX 4 OF 4 *,,0,,3,0,3,,,,,,,,,,
B47-Q-FB,Discontinued,Active,B47 QUEEN FOOTBOARD,NAVY BLUE VELVET,* BOX 2 OF 4 *,0,,1,0,1,,,,,,,,,,
B47-Q-HB,Discontinued,Active,B47 QUEEN HEADBOARD,NAVY BLUE VELVET,* BOX 1 OF 4 *,0,,1,0,1,,,,,,,,,,
B47-Q-SLATS,Discontinued,Active,B47 QUEEN SLATS,* BOX 4 OF 4 *,,0,,1,0,1,,,,,,,,,,
B47-Q-SR ,Discontinued,Active,B47 QUEEN SIDE RAIL,NAVY BLUE VELVET,* BOX 3 OF 4 *,0,,1,0,1,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B48-CKB,Discontinued,Active,B48 CAL. KING BED,DARK GRAY VELVET,* 4 BOXES *,473,449,,,1,,,,,,,,,,
B48-QB,Discontinued,Active,B48 QUEEN BED,DARK GRAY VELVET,* 4 BOXES *,420,399,,,3,,,,,,,,,,
B48-CK-SR,Discontinued,Active,B48 CAL. KING SIDE RAILS,DARK GRAY VELVET,* BOX 3 OF 4 *,0,,2,0,2,,,,,,,,,,
B48-EKCK-FB,Discontinued,Active,B48 EASTERN & CAL. KING FOOTBOARD,DARK GRAY VELVET,* BOX 2 OF 4 *,0,,3,0,3,,,,,,,,,,
B48-EKCK-HB,Discontinued,Active,B48 EASTERN & CAL. KING HEADBOARD,DARK GRAY VELVET,* BOX 1 OF 4 *,0,,1,0,1,,,,,,,,,,
B48-EKCK-SL,Discontinued,Active,B48 EASTERN & CAL. KING SLATS,* BOX 4 OF 4 *,,0,,1,0,1,,,,,,,,,,
B48-Q-FB,Discontinued,Active,B48 QUEEN FOOTBOARD,DARK GRAY VELVET,* BOX 2 OF 4 *,0,,3,0,3,,,,,,,,,,
B48-Q-HB,Discontinued,Active,B48 QUEEN BED HEADBOARD,DARK GRAY VELVET,* BOX 1 OF 4 *,0,,3,0,3,,,,,,,,,,
B48-Q-SLATS,Discontinued,Active,B48 QUEEN SLATS,* BOX 4 OF 4 *,,0,,3,0,3,,,,,,,,,,
B48-Q-SR,Discontinued,Active,B48 QUEEN SIDE RAIL,DARK GRAY VELVET,* BOX 3 OF 4 *,0,,3,0,3,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B50-CKB,Discontinued,Active,B50 CAL. KING BED,BLACK VELVET,* 4 BOXES *,473,449,,,3,,,,,,,,,,
B50-EKB,Discontinued,Active,B50 EASTERN KING BED,BLACK VELVET,* 4 BOXES *,473,449,,,0,,,,,,,,,,
