ID,Type,SKU,Name,"In stock?","Regular price"
5372,simple,9b2fecf907f1,BEL-EK4,1,2086
5373,simple,ad0fcc1f1e10,BEL-EK3,1,1877
5374,simple,7f9e032d7002,BEL-CK4NC,1,2880
5375,simple,6a1847cc2df3,BEL-CK4C,1,2621
5376,simple,95945d3c10ce,BEL-CK4N,1,2345
5377,simple,23ea4c9c87b9,BEL-CK4,1,2086
5378,simple,a76167330a66,BEL-CK3,1,1877
5379,simple,2193b59d99b3,BEL-Q4NC,1,2746
5380,simple,60c32e66b5ed,BEL-Q4C,1,2487
5381,simple,d9a3614739de,BEL-Q4N,1,2211
5382,simple,4f361b677801,BEL-Q4,1,1952
5383,simple,348b112733f5,BEL-Q3,1,1743
5399,simple,faf3c46025a7,CATH-EK4NC,1,1645
5400,simple,2108beaa8b20,CATH-EK4C,1,1492
5401,simple,e230169679aa,CATH-EK4N,1,1288
5402,simple,b2357669a711,CATH-EK4,1,1135
5403,simple,3a37af93623c,CATH-EK3,1,1058
5404,simple,ad08876d17e3,CATH-CK4NC,1,1645
5405,simple,3d8802463510,CATH-CK4C,1,1492
5406,simple,2d2bf8591777,CATH-CK4N,1,1288
5407,simple,0fbaa206ef82,CATH-CK4,1,1135
5408,simple,f80209068e75,CATH-CK3,1,1058
5409,simple,6c28a45d60fa,CATH-Q4NC,1,1560
5410,simple,caa0cc9c0ef3,CATH-Q4C,1,1407
5411,simple,1e3ab5189482,CATH-Q4N,1,1203
5412,simple,82db41304eb3,CATH-Q4,1,1050
5413,simple,23792a3c1603,CATH-Q3,1,973
5414,simple,9ebd4c1925d5,VEN-EK4NC,1,2926
5415,simple,a944b483f01c,VEN-EK4C,1,2637
5416,simple,cfbbdcf76896,VEN-EK4N,1,2361
5417,simple,9fe5d00de7f2,VEN-EK4,1,2072
5418,simple,99272e12120d,VEN-EK3,1,1903
5419,simple,bdfd86f627bc,VEN-CK4NC,1,2926
5420,simple,54e1dbfc51a5,VEN-CK4C,1,2637
5421,simple,d5fe629fc2e0,VEN-CK4N,1,2361
5422,simple,29299000104b,VEN-CK4,1,2072
5423,simple,e24df821ddac,VEN-CK3,1,1903
5424,simple,9dc941a4d48b,VEN-Q4NC,1,2800
5425,simple,62474c06a128,VEN-Q4C,1,2511
5426,simple,5bf12ddfcb10,VEN-Q4N,1,2235
5427,simple,827f12fe40e1,VEN-Q4,1,1946
5428,simple,a5ad7568f04c,VEN-Q3,1,1777
