AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
ANA-T4NC,Top Seller,Active,ANASTASIA 4PC. TWIN SET W/ EXTRA NS & CHEST,GRAY COLOR,(T +DR +M +2N +C),1004,1056,,,35,,,,,,,,,,
ANA-C,,Active,ANASTASIA CHEST,GRAY COLOR,* 1 BOX *,1,1,35,0,35,,,7/29/2022,40,8/15/2022,128,,,9/30/2022,128
ANA-CKB,Note,Active,ANASTASIA CAL. KING BED,GRAY COLOR,* 1 BOX *,155,163,54,0,54,,,,,,,,,,
ANA-CKB-1,Top Seller,Active,ANASTASIA CAL. KING BED HEAD & FOOTBOARD & SLATS,GRAY COLOR,* BOX 1 OF 2 *,0,,0,0,0,,,,,8/25/2022,55,,,,
ANA-CKB-2,Note,Active,ANASTASIA CAL. KING BED SIDE RAILS,GRAY COLOR,* BOX 2 OF 2 *,0,,0,0,0,,,,,8/25/2022,55,,,,
ANA-DR,,Active,ANASTASIA DRESSER,GRAY COLOR,* 1 BOX *,1,1,235,0,235,,,,,8/25/2022,70,8/30/2022,135,,
ANA-EKB,Note,Active,ANASTASIA EASTERN KING BED,GRAY COLOR,* 1 BOX *,155,163,3,0,3,,,,,,,,,,
ANA-EKB-1,Top Seller,Active,ANASTASIA EASTERN KING HEAD & FOOTBOARD & SLATS,GRAY COLOR,* BOX 1 OF 2 *,0,,0,0,0,,,7/29/2022,55,,,,,,
ANA-EKB-2,Note,Active,ANASTASIA EASTERN KING SIDE RAILS,GRAY COLOR,* BOX 2 OF 2 *,0,,-1,0,-1,,,7/29/2022,55,,,,,,
ANA-FB,Note,Active,ANASTASIA FULL BED,GRAY COLOR,* 1 BOX *,122,128,1,0,1,,,7/29/2022,100,,,,,,
ANA-M,Top Seller,Active,ANASTASIA MIRROR,GRAY COLOR,* 1 BOX *,1,1,684,0,684,,,,,,,,,,
ANA-N,,Active,ANASTASIA NIGHTSTAND,GRAY COLOR,* 1 BOX *,1,1,522,0,522,,,,,,,8/30/2022,250,,
ANA-QB,,Active,ANASTASIA QUEEN BED,GRAY COLOR,* 1 BOX *,1,1,37,1,36,,,7/29/2022,102,8/25/2022,103,,,,
ANA-TB,Note,Active,ANASTASIA TWIN BED,GRAY COLOR,* 1 BOX *,102,107,226,0,226,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B120-EKB,Top Seller,Active,B120 EASTERN KING BED,BEIGE LINEN,* 1 BOX *,280,294,79,0,79,,,,,,,,,,
B120-QB,Top Seller,Active,B120 QUEEN BED,BEIGE LINEN,* 1 BOX *,231,243,85,0,85,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B122-EKB,,Active,B122 EASTERN KING BED,GRAY LINEN,* 1 BOX *,273,287,21,0,21,,,,,,,,,,
B122-FB,,Active,B122 FULL BED,GRAY LINEN,* 1 BOX *,206,216,125,2,123,,,,,,,,,,
B122-QB,,Active,B122 QUEEN BED,GRAY LINEN,* 1 BOX *,225,236,247,1,246,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B138,,Active,B138 QUEEN & FULL HEADBOARD (ONLY),DARK GRAY VELVET,* 1 BOX *,107,112,71,0,71,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B139,,Active,B139 QUEEN & FULL HEADBOARD (ONLY),NAVY BLUE VELVET,* 1 BOX *,107,112,48,0,48,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B140,,Active,B140 QUEEN & FULL HEADBOARD (ONLY),BLACK VELVET,* 1 BOX *,107,112,74,0,74,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B141,,Active,B141 QUEEN & FULL HEADBOARD (ONLY),WHITE FAUX LEATHER,* 1 BOX *,107,112,81,0,81,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B143-EKB,,Active,B143 EASTERN KING BED,DARK GRAY VELVET,* 1 BOX *,201,211,94,0,94,,,,,,,,,,
B143-FB,,Active,B143 FULL BED,DARK GRAY VELVET,* 1 BOX *,152,159,146,0,146,,,,,,,,,,
B143-QB,,Active,B143 QUEEN BED,DARK GRAY VELVET,* 1 BOX *,166,174,150,0,150,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B144-EKB,,Active,B144 EASTERN KING BED,NAVY BLUE VELVET,* 1 BOX *,201,211,59,0,59,,,,,,,,,,
B144-FB,,Active,B144 FULL BED,NAVY BLUE VELVET,* 1 BOX *,152,159,75,0,75,,,,,,,,,,
B144-QB,,Active,B144 QUEEN BED ,NAVY BLUE VELVET,* 1 BOX *,166,174,74,0,74,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B145-EKB,,Active,B145 EASTERN KING BED,BLACK VELVET,* 1 BOX *,201,211,66,0,66,,,,,,,,,,
B145-FB,,Active,B145 FULL BED,BLACK VELVET,* 1 BOX *,152,159,99,0,99,,,,,,,,,,
B145-QB,,Active,B145 QUEEN BED,BLACK VELVET,* 1 BOX *,166,174,96,2,94,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B146-EKB,,Active,B146 EASTERN KING BED,WHITE FAUX LEATHER,* 1 BOX *,201,211,81,0,81,,,,,,,,,,
B146-FB,,Active,B146 FULL BED,WHITE FAUX LEAETHER,* 1 BOX *,152,159,146,0,146,,,,,,,,,,
B146-QB,,Active,B146 QUEEN BED,WHITE FAUX LEATHER,* 1 BOX *,109,114,123,2,121,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B149-FB,,Active,B149 FULL BED,BLACK FAUX LEATHER,* 1 BOX *,161,169,59,1,58,,,,,8/30/2022,70,,,,
B149-QB,Top Seller,Active,B149 QUEEN BED,BLACK FAUX LEATHER,* 1 BOX *,171,179,57,0,57,,,,,8/30/2022,85,,,,
B149-TB,,Active,B149 TWIN BED,BLACK FAUX LEATHER,* 1 BOX *,142,149,39,0,39,,,,,8/30/2022,50,,,,
 ,,,,,,,,,,,,,,,,,,,,
